City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arlit,18.7369,7.3853,79.34,10,0,5.08,NE,1614803344
Yenagoa,4.9247,6.2642,81.07,80,100,7.7,NG,1614803344
Hithadhoo,-0.6,73.0833,82.38,68,47,10.78,MV,1614803344
Tuktoyaktuk,69.4541,-133.0374,-23.8,76,40,3.44,CA,1614803345
Albany,42.6001,-73.9662,42.8,49,75,10.36,US,1614803262
La Ronge,55.1001,-105.2842,32.0,64,46,2.3,CA,1614803109
Maniwaki,46.3834,-75.966,30.2,64,100,8.05,CA,1614803345
Aksu,41.1231,80.2644,37.87,72,100,1.34,CN,1614803345
Bluff,-46.6,168.3333,54.0,75,74,8.01,NZ,1614803345
Belmonte,-15.8631,-38.8828,82.4,61,40,8.05,BR,1614803345
Rawlins,41.7911,-107.2387,46.4,25,1,8.05,US,1614803346
Haines Junction,60.7522,-137.5108,15.8,53,99,1.14,CA,1614803346
Manzini,-26.25,31.5,71.6,68,0,0.6,SZ,1614803346
Port Alfred,-33.5906,26.891,71.01,92,55,1.01,ZA,1614803346
Aswān,24.0934,32.907,61.05,32,0,16.75,EG,1614803060
San Quintín,30.4833,-115.95,61.11,66,99,16.37,MX,1614803214
Tauá,-5.9667,-40.3,84.0,55,6,9.64,BR,1614803347
São João da Barra,-21.6403,-41.0511,84.2,61,0,18.41,BR,1614803347
Babati,-4.2167,35.75,66.16,81,60,2.51,TZ,1614803347
Hilo,19.7297,-155.09,77.0,47,75,9.22,US,1614803347
Hobart,-42.8794,147.3294,62.01,67,40,17.27,AU,1614803192
Margate,51.3813,1.3862,46.99,90,92,1.01,GB,1614803347
Hambantota,6.1241,81.1185,74.82,79,0,12.08,LK,1614803347
Rawson,-43.3002,-65.1023,68.38,73,100,9.8,AR,1614803347
Leningradskiy,69.3833,178.4167,-20.29,90,67,12.71,RU,1614803348
Westport,41.1415,-73.3579,51.8,30,1,16.11,US,1614803348
Ushtobe,45.2514,77.9838,26.65,93,48,11.12,KZ,1614803348
Lastoursville,-0.8143,12.7287,81.18,65,98,1.61,GA,1614803348
Corrente,-3.7367,-43.3394,83.48,72,53,3.49,BR,1614803348
Bambous Virieux,-20.3428,57.7575,78.8,83,40,50.64,MU,1614803349
Los Pozos,8.4518,-62.7268,84.0,64,30,7.0,VE,1614803349
Egvekinot,66.3167,-179.1667,-11.85,82,100,4.07,RU,1614803349
Saskylakh,71.9167,114.0833,-41.24,80,89,2.37,RU,1614803349
Newry,54.1784,-6.3374,42.01,78,99,1.01,GB,1614803200
Avera,33.194,-82.5271,64.0,48,75,5.75,US,1614803349
Havre-St-Pierre,50.2334,-63.5986,23.0,63,20,19.57,CA,1614803350
Yar-Sale,66.8333,70.8333,5.83,94,100,12.33,RU,1614803350
Andover,51.2083,-1.4825,48.0,100,90,4.61,GB,1614803350
Dudinka,69.4058,86.1778,-19.17,77,64,10.27,RU,1614803246
Airai,-8.9266,125.4092,59.74,100,100,0.47,TL,1614803350
Challans,46.8436,-1.8749,50.0,87,0,2.3,FR,1614803351
Goderich,43.7501,-81.7165,35.6,80,100,5.75,CA,1614803351
Majene,-3.5403,118.9707,78.24,78,100,3.69,ID,1614803351
San Juan,-31.5375,-68.5364,86.49,32,1,5.5,AR,1614803115
Inhambane,-23.865,35.3833,75.22,92,21,6.91,MZ,1614803177
Strezhevoy,60.7333,77.5889,15.8,79,90,13.42,RU,1614803351
Bengkulu,-3.8004,102.2655,76.82,80,98,3.89,ID,1614803352
Dikson,73.5069,80.5464,-25.08,79,69,10.2,RU,1614803352
Hamilton,39.1834,-84.5333,62.6,29,1,14.97,US,1614803189
Mwinilunga,-11.7358,24.4293,63.43,97,100,4.07,ZM,1614803352
Lagoa,39.05,-27.9833,59.5,90,100,18.41,PT,1614803353
Los Llanos de Aridane,28.6585,-17.9182,66.2,68,75,11.5,ES,1614803353
Chui,-33.6971,-53.4616,76.62,76,100,14.05,UY,1614803353
Anadyr,64.75,177.4833,-0.4,78,40,40.26,RU,1614803353
Korla,41.7597,86.1469,37.4,56,52,3.85,CN,1614803354
Ancud,-41.8697,-73.8203,72.0,63,75,8.05,CL,1614803354
Taoudenni,22.6783,-3.9836,74.8,17,100,9.93,ML,1614803355
Chicama,-7.8447,-79.1469,77.0,78,20,9.22,PE,1614803355
Mayumba,-3.432,10.6554,80.47,87,72,4.5,GA,1614803355
Qasigiannguit,68.8193,-51.1922,33.8,51,75,10.36,GL,1614803355
Vardø,70.3705,31.1107,26.6,86,90,23.02,NO,1614803356
Biltine,14.5333,20.9167,76.77,17,28,14.36,TD,1614803356
Kyzyl-Suu,42.3414,78.0056,31.42,82,95,6.44,KG,1614803356
Mount Gambier,-37.8333,140.7667,57.2,67,90,5.75,AU,1614803356
Nuuk,64.1835,-51.7216,42.8,45,20,16.11,GL,1614803325
Kavieng,-2.5744,150.7967,82.11,75,100,10.78,PG,1614803357
Marsh Harbour,26.5412,-77.0636,77.32,74,0,22.28,BS,1614803357
Montepuez,-13.1256,38.9997,71.11,96,100,5.68,MZ,1614803357
Susurluk,39.9136,28.1578,44.6,76,40,11.5,TR,1614803357
Jalu,29.0331,21.5482,55.81,35,0,9.82,LY,1614803358
Turan,16.0678,108.2208,73.4,88,40,1.14,VN,1614803358
Vostok,46.4856,135.8833,16.34,97,100,5.46,RU,1614803358
Katima Mulilo,-17.5,24.2667,65.79,91,0,2.8,NA,1614803292
Petrov Val,50.1434,45.2096,22.64,96,11,13.56,RU,1614803358
Veracruz,19.3333,-96.6667,77.0,60,20,12.66,MX,1614803359
Luocheng,29.3848,104.0286,53.51,61,93,2.64,CN,1614803231
Barabinsk,55.3571,78.357,13.03,96,100,16.96,RU,1614803359
Cidreira,-30.1811,-50.2056,79.47,78,100,6.42,BR,1614803359
Talā,30.6803,30.9429,46.35,74,0,7.34,EG,1614803359
Upernavik,72.7868,-56.1549,10.11,95,100,8.86,GL,1614803360
Manicoré,-5.8092,-61.3003,72.86,98,100,4.09,BR,1614803360
Ribeira Grande,38.5167,-28.7,60.8,100,75,11.5,PT,1614803360
Río Gallegos,-51.6226,-69.2181,64.4,42,40,10.36,AR,1614803222
Mar del Plata,-38.0023,-57.5575,75.2,88,20,20.71,AR,1614803361
Kastamonu Province,41.5,33.6667,29.28,94,71,2.1,TR,1614803361
Hasaki,35.7333,140.8333,33.8,80,20,6.91,JP,1614803361
San Miguel de Tucumán,-26.8241,-65.2226,78.8,65,75,3.44,AR,1614803148
Maniitsoq,65.4167,-52.9,35.06,79,77,6.2,GL,1614803362
Ca Mau,9.1769,105.15,76.17,83,0,7.7,VN,1614803362
Tiksi,71.6872,128.8694,-15.34,100,100,9.44,RU,1614803362
Hobyo,5.3505,48.5268,79.0,78,81,17.02,SO,1614803362
Sitka,57.0531,-135.33,39.2,65,75,18.41,US,1614803363
Yerbogachën,61.2767,108.0108,-34.91,82,6,3.36,RU,1614803363
Craig,40.5153,-107.5464,46.4,29,1,12.66,US,1614803122
Codrington,-38.2667,141.9667,52.95,84,47,7.61,AU,1614803363
Ahipara,-35.1667,173.1667,66.79,93,100,6.31,NZ,1614803363
Kiryat Gat,31.61,34.7642,54.0,100,10,1.66,IL,1614803363
Puerto Quijarro,-17.7833,-57.7667,92.37,48,48,3.6,BO,1614803364
Istok,42.7808,20.4875,46.0,60,0,2.62,XK,1614803364
Djebeniana,35.035,10.9081,60.8,72,40,12.66,TN,1614803364
Mahuva,21.0914,71.7622,76.6,29,0,10.51,IN,1614803364
Nikolskoye,59.7035,30.7861,34.0,93,90,17.9,RU,1614803364
Krapivinskiy,54.9992,86.8133,12.2,79,90,8.95,RU,1614803365
Cabo San Lucas,22.8909,-109.9124,81.0,53,75,4.61,MX,1614803365
‘Āhuimanu,21.4447,-157.8378,75.2,60,20,16.11,US,1614803365
Guerrero Negro,27.9769,-114.0611,67.55,54,39,16.84,MX,1614803365
Coroico,-16.1889,-67.7271,57.2,58,75,11.5,BO,1614803366
Aklavik,68.2191,-135.0107,-20.2,69,94,2.3,CA,1614803366
Katherine,-14.4667,132.2667,78.8,83,8,4.61,AU,1614803366
Broome,42.2506,-75.833,42.01,56,75,6.91,US,1614803366
Cacoal,-11.4386,-61.4472,80.31,90,94,5.75,BR,1614803238
Kaitangata,-46.2817,169.8464,57.99,65,24,11.72,NZ,1614803367
Alice Springs,-23.7,133.8833,78.8,25,35,5.75,AU,1614803367
Carnarvon,-24.8667,113.6333,69.8,100,40,4.61,AU,1614803367
Ulaangom,49.9811,92.0667,5.79,93,100,1.23,MN,1614803368
Norman Wells,65.282,-126.8329,-13.0,64,75,3.44,CA,1614803368
Fountain,38.6822,-104.7008,57.99,13,1,6.91,US,1614803138
Basoko,1.2391,23.616,78.19,45,7,3.31,CD,1614803368
Adrar,20.5022,-10.0711,75.0,17,100,9.69,MR,1614803369
Kuching,1.55,110.3333,80.6,94,40,1.88,MY,1614803369
Kandrian,-6.2167,149.55,80.29,79,100,19.26,PG,1614803369
Cockburn Town,21.4612,-71.1419,77.02,74,0,15.86,TC,1614803369
Oussouye,12.485,-16.5469,86.0,48,0,9.22,SN,1614803369
Takoradze,4.8845,-1.7554,80.76,85,75,8.81,GH,1614803370
Unity,52.4501,-109.1682,30.63,97,3,3.65,CA,1614803370
Provideniya,64.3833,-173.3,-5.8,77,75,11.18,RU,1614803370
Dābhol,17.6,73.1667,75.11,47,0,3.96,IN,1614803370
Pevek,69.7008,170.3133,-6.77,80,100,2.84,RU,1614803370
Umluj,25.0213,37.2685,69.49,58,0,9.13,SA,1614803370
Saint-Philippe,-21.3585,55.7679,78.8,73,90,5.75,RE,1614803371
Kavaratti,10.5669,72.642,81.95,66,0,1.52,IN,1614803371
Kudahuvadhoo,2.6708,72.8944,81.79,71,0,15.21,MV,1614803371
Safi,32.2994,-9.2372,59.76,81,0,12.33,MA,1614803371
Vila Franca do Campo,37.7167,-25.4333,59.0,88,75,13.8,PT,1614803371
Lüderitz,-26.6481,15.1594,70.52,63,0,16.46,NA,1614803371
Samarai,-10.6167,150.6667,81.01,78,100,12.19,PG,1614803371
Sorong,-0.8833,131.25,80.51,74,94,3.85,ID,1614803372
Sibolga,1.7427,98.7792,76.59,74,100,4.83,ID,1614803110
Iqaluit,63.7506,-68.5145,-11.2,70,75,35.68,CA,1614803372
Kahului,20.8947,-156.47,75.2,43,20,11.5,US,1614803372
Kalabo,-14.97,22.6814,67.62,92,92,4.85,ZM,1614803372
Saint-Augustin,51.226,-58.6502,26.44,97,100,17.07,CA,1614803373
Geraldton,-28.7667,114.6,68.0,94,75,11.5,AU,1614803373
Zhanakorgan,43.9098,67.2495,33.24,81,0,1.83,KZ,1614803373
Karratha,-20.7377,116.8463,79.3,69,19,5.7,AU,1614803373
Batemans Bay,-35.7167,150.1833,55.0,86,17,1.99,AU,1614803373
Maceió,-9.6658,-35.7353,82.4,69,40,16.11,BR,1614803373
Port Elizabeth,-33.918,25.5701,68.0,88,90,11.5,ZA,1614803374
Bethel,41.3712,-73.414,48.2,34,1,8.05,US,1614803117
Kawalu,-7.3817,108.2082,72.59,94,100,2.53,ID,1614803374
Tuatapere,-46.1333,167.6833,54.0,75,97,8.01,NZ,1614803374
Colares,38.7992,-9.4469,60.01,82,0,3.44,PT,1614803374
Klaksvík,62.2266,-6.589,32.0,74,52,10.36,FO,1614803374
Moncagua,13.5333,-88.25,100.4,22,0,9.22,SV,1614803375
Coyhaique,-45.5752,-72.0662,71.6,49,40,9.22,CL,1614803314
Alofi,-19.0595,-169.9187,82.4,89,75,8.05,NU,1614803209
Bay Roberts,47.5999,-53.2648,25.0,77,59,7.0,CA,1614803375
Sobolevo,54.4299,31.8996,32.0,84,34,13.15,RU,1614803375
Baiyin,36.5583,104.2081,26.6,33,0,8.95,CN,1614803376
Mahon,39.8885,4.2658,53.6,87,20,8.05,ES,1614803082
Boende,-0.2167,20.8667,78.48,62,0,2.57,CD,1614803376
Bāfq,31.6128,55.4107,58.46,32,0,1.9,IR,1614803376
Shimoda,34.6667,138.95,37.99,79,84,1.01,JP,1614803377
Faanui,-16.4833,-151.75,82.72,73,100,9.08,PF,1614803377
Havelock,34.8791,-76.9013,60.8,51,90,9.22,US,1614803212
Lavrentiya,65.5833,-171.0,-16.74,83,2,1.66,RU,1614803377
Talnakh,69.4865,88.3972,-24.52,70,36,9.95,RU,1614803377
Santa Isabel Rio Negro,-0.4139,-65.0192,85.21,64,79,1.9,BR,1614803378
São Sebastião,-23.76,-45.4097,82.27,71,61,4.81,BR,1614803378
East London,-33.0153,27.9116,68.0,100,90,6.91,ZA,1614803378
Vestmannaeyjar,63.4427,-20.2734,39.04,82,81,24.7,IS,1614803378
El Alto,-4.2714,-81.2147,84.2,65,0,12.66,PE,1614803378
Macklin,52.3334,-109.9348,35.6,87,15,6.91,CA,1614803378
Anchorage,61.2181,-149.9003,17.6,86,75,2.1,US,1614803363
Marsá Maţrūḩ,31.3525,27.2453,55.4,58,75,13.8,EG,1614803379
Zhigansk,66.7697,123.3711,-33.99,94,100,11.36,RU,1614803379
Tlapehuala,18.2167,-100.5167,105.78,21,0,2.33,MX,1614803379
Lata,40.1629,-8.3327,60.01,81,51,3.13,PT,1614803379
Henties Bay,-22.116,14.2845,70.21,71,0,10.8,NA,1614803380
Ferzikovo,54.5191,36.7567,35.6,64,100,13.42,RU,1614803380
Muravlenko,63.7898,74.523,9.88,96,100,11.92,RU,1614803380
Puerto Nariño,-3.7703,-70.3831,84.2,79,40,3.44,CO,1614803380
Pokhara,28.2333,83.9833,57.61,34,0,4.76,NP,1614803381
Hualmay,-11.0964,-77.6139,78.75,61,18,10.38,PE,1614803381
Praia da Vitória,38.7333,-27.0667,60.8,77,40,5.75,PT,1614803381
Vila Velha,-20.3297,-40.2925,82.4,74,20,11.5,BR,1614803381
Puerto Ayora,-0.7393,-90.3518,82.4,83,40,6.91,EC,1614803381
Aleksandriya,45.0947,43.2456,32.67,93,0,12.62,RU,1614803382
Buta,2.7858,24.73,77.31,30,0,1.36,CD,1614803382
Talcahuano,-36.7167,-73.1167,73.4,56,0,14.97,CL,1614803382
Pánuco,22.05,-98.1667,71.6,53,90,11.5,MX,1614803382
Grindavik,63.8424,-22.4338,39.2,93,90,23.02,IS,1614803099
Conceição da Barra,-18.5933,-39.7322,79.57,74,100,6.69,BR,1614803383
Souillac,-20.5167,57.5167,78.8,83,40,50.64,MU,1614803383
Baripāda,21.935,86.7214,68.13,25,0,3.29,IN,1614803383
Makakilo City,21.3469,-158.0858,77.0,44,1,8.05,US,1614803383
Fallon,39.4735,-118.7774,52.0,23,90,6.91,US,1614803383
Saldanha,-33.0117,17.9442,66.2,82,24,5.75,ZA,1614803384
Sosnovo-Ozerskoye,52.5249,111.5418,-11.67,85,0,9.37,RU,1614803384
Thompson,55.7435,-97.8558,15.8,73,90,6.91,CA,1614803122
Rocha,-34.4833,-54.3333,76.69,75,99,14.88,UY,1614803384
Sabang,5.8933,95.3214,82.27,76,0,11.21,ID,1614803384
São Filipe,14.8961,-24.4956,72.09,70,45,10.0,CV,1614803385
Maryville,35.7565,-83.9705,62.01,25,1,5.75,US,1614803243
Rundu,-17.9333,19.7667,66.83,79,3,5.39,NA,1614803230
Kumul,42.8,93.45,36.68,72,72,4.92,CN,1614803385
Valparaíso,-33.0393,-71.6273,64.4,77,52,11.5,CL,1614803386
Moree,-29.4667,149.85,66.2,72,79,8.05,AU,1614803386
Atar,20.5169,-13.0499,74.77,18,100,11.16,MR,1614803386
Port Hardy,50.6996,-127.4199,42.8,87,90,20.71,CA,1614803386
Kasongo-Lunda,-6.4667,16.8167,74.1,86,100,2.13,CD,1614803386
Evensk,61.95,159.2333,1.83,92,100,9.4,RU,1614803387
Kruisfontein,-34.0033,24.7314,68.0,85,6,1.01,ZA,1614803387
Abu Samrah,35.3029,37.1841,50.09,79,0,5.68,SY,1614803387
Hagerstown,39.6418,-77.72,57.2,23,1,11.5,US,1614803285
Aquiraz,-3.9014,-38.3911,84.2,70,20,11.5,BR,1614803387
Sanguéya,10.7,-14.3667,76.1,63,0,6.51,GN,1614803387
Olafsvik,64.8945,-23.7142,40.15,91,100,17.0,IS,1614803388
Portland,45.5234,-122.6762,55.99,57,20,2.42,US,1614802935
Baruun-Urt,46.6806,113.2792,17.94,95,77,3.09,MN,1614803388
Port Keats,-14.25,129.55,82.13,88,88,9.55,AU,1614803388
Juxtlahuaca,17.4294,-99.1467,90.79,28,18,7.4,MX,1614803388
Ixtapa,20.7,-105.2,77.0,69,1,12.66,MX,1614803389
Fairbanks,64.8378,-147.7164,1.0,77,90,3.44,US,1614803389
Monforte de Lemos,42.5216,-7.5142,46.0,55,40,2.13,ES,1614803389
Uralets,57.6614,59.6497,18.01,98,75,5.84,RU,1614803389
Burnie,-41.0667,145.9167,57.99,97,100,8.99,AU,1614803389
Beloha,-25.1667,45.05,74.3,90,98,4.54,MG,1614803390
Dingle,10.9995,122.6711,75.15,89,100,7.23,PH,1614803390
Flinders,-34.5833,150.8552,59.0,82,70,1.01,AU,1614803390
Wajir,1.7471,40.0573,83.44,37,100,19.84,KE,1614803390
Nome,64.5011,-165.4064,-7.6,64,1,2.66,US,1614803391
Naze,28.3667,129.4833,58.48,72,98,13.18,JP,1614803391
Nanortalik,60.1432,-45.2371,35.96,68,100,18.16,GL,1614803391
Imbituba,-28.24,-48.6703,71.6,94,75,11.5,BR,1614803391
Ucluelet,48.9329,-125.5528,45.0,87,90,11.5,CA,1614803209
Gravdal,68.1214,13.5031,33.8,55,75,16.11,NO,1614803391
San Fernando del Valle de Catamarca,-28.4696,-65.7852,77.0,86,45,1.01,AR,1614803392
Cape Canaveral,28.4058,-80.6048,77.0,56,1,10.36,US,1614802888
High Level,58.5169,-117.136,19.4,79,20,8.05,CA,1614803392
Fuerte Olimpo,-21.0415,-57.8738,92.89,48,45,5.1,PY,1614803392
Padang,-0.9492,100.3543,73.4,100,75,2.3,ID,1614803393
Young,-32.6833,-57.6333,88.0,56,91,4.0,UY,1614803106
Paamiut,61.994,-49.6678,41.58,65,100,8.97,GL,1614803393
Mehamn,71.0357,27.8492,30.2,80,40,19.57,NO,1614803393
Camaná,-16.6228,-72.7111,76.75,67,4,7.31,PE,1614803394
Cayenne,4.9333,-52.3333,82.4,74,75,11.5,GF,1614803394
Arāria,26.15,87.5167,62.4,28,0,2.95,IN,1614803394
Rome,43.2128,-75.4557,39.99,60,90,10.36,US,1614803157
Jega,12.2175,4.3792,85.08,14,0,8.99,NG,1614803395
Biak,-0.9131,122.8766,75.92,79,100,3.62,ID,1614803395
Santiago del Estero,-27.7951,-64.2615,87.91,44,30,6.76,AR,1614803395
Oshnavīyeh,37.0397,45.0983,39.2,52,20,6.91,IR,1614803395
Agadez,19.75,10.25,69.53,20,0,6.73,NE,1614803395
Asău,46.4333,26.4,39.99,59,0,5.7,RO,1614803395
Nantucket,41.2835,-70.0995,42.8,61,1,13.8,US,1614803287
Trat,12.5,102.5,75.99,99,16,0.56,TH,1614803396
Tuzha,57.6062,47.936,20.61,93,96,10.25,RU,1614803396
Laguna,38.421,-121.4238,64.0,29,1,5.75,US,1614803396
Santa Rosa,14.3122,121.1114,80.6,69,20,5.75,PH,1614803017
Muswellbrook,-32.2667,150.9,57.99,83,16,2.64,AU,1614803396
Province of Groningen,53.25,6.75,39.99,93,90,8.05,NL,1614803397
Victoria Point,-27.5833,153.3,68.0,97,69,1.01,AU,1614803397
Viesca,25.35,-102.8,78.8,22,75,5.14,MX,1614803397
Campo Maior,-4.8278,-42.1686,82.62,79,99,2.68,BR,1614803397
Pisco,-13.7,-76.2167,84.2,54,0,13.8,PE,1614803398
Ust'-Kut,56.7938,105.7672,-28.73,99,34,1.07,RU,1614803398
Rio Grande,-32.035,-52.0986,80.6,78,40,11.5,BR,1614803156
Iralaya,15.0,-83.2333,82.4,78,75,9.22,HN,1614803398
Kingaroy,-26.5333,151.8333,66.2,88,75,3.44,AU,1614803398
Galesong,-5.3166,119.3661,77.0,100,20,4.61,ID,1614803399
Pedernales,18.0384,-71.744,82.81,55,2,1.16,DO,1614803399
Gazojak,41.1875,61.4036,42.85,62,0,7.38,TM,1614803399
Marataizes,-21.0433,-40.8244,77.85,85,91,16.24,BR,1614803400
Peace River,56.2501,-117.286,32.0,55,90,6.91,CA,1614803114
Makat,47.6469,53.3463,32.09,99,100,16.13,KZ,1614803400
Omboué,-1.5746,9.2618,81.01,87,100,7.02,GA,1614803400
Coquimbo,-29.9533,-71.3436,68.0,73,40,12.66,CL,1614803218
Fare,-16.7,-151.0167,82.6,75,100,10.47,PF,1614803400
Mogadishu,2.0371,45.3438,78.71,81,8,22.46,SO,1614803104
Betsiamites,48.9413,-68.646,23.0,50,1,10.36,CA,1614803401
Riberalta,-10.9833,-66.1,87.8,66,75,11.5,BO,1614803401
Rajpur,22.3,74.35,69.6,19,0,2.89,IN,1614803401
Bryan,30.6744,-96.37,69.01,34,1,4.81,US,1614803347
Kaeo,-35.1,173.7833,66.0,98,100,1.01,NZ,1614803402
Baijiantan,45.6333,85.1833,27.48,74,100,1.34,CN,1614803402
Zhuhai,22.2769,113.5678,66.2,88,40,8.05,CN,1614803402
Karlstad,59.3793,13.5036,28.4,100,40,4.61,SE,1614803405
Clocolan,-28.9137,27.5656,59.59,50,19,2.01,ZA,1614803407
Bassila,9.0081,1.6654,81.99,17,97,3.74,BJ,1614803407
Te Anau,-45.4167,167.7167,50.72,80,79,4.36,NZ,1614803407
Lorengau,-2.0226,147.2712,82.09,79,100,13.38,PG,1614803408
Kharp,66.8014,65.8081,3.0,91,100,6.15,RU,1614803408
Warrnambool,-38.3833,142.4833,57.99,77,59,3.0,AU,1614803408
Hofn,64.2539,-15.2082,30.2,80,90,5.75,IS,1614803408
Noshiro,40.2039,140.0242,26.37,77,0,6.53,JP,1614803237
Tadine,-21.55,167.8833,80.01,82,98,6.58,NC,1614803409
Mayo,38.8876,-76.5119,57.0,28,1,6.91,US,1614803409
Santa Lucía,27.9117,-15.5407,64.4,68,40,12.66,ES,1614803409
Lebu,-37.6167,-73.65,64.29,69,14,18.12,CL,1614803409
Sakakah,29.9697,40.2064,64.4,32,0,3.44,SA,1614803410
Bandarbeyla,9.4942,50.8122,76.8,79,79,13.02,SO,1614803410
Baykit,61.67,96.37,-30.42,79,49,2.42,RU,1614803410
Angoche,-16.2325,39.9086,76.46,94,100,8.75,MZ,1614803410
Isabela,6.7085,121.9711,77.22,81,0,2.28,PH,1614803410
Fort Nelson,58.8053,-122.7002,8.6,66,40,10.36,CA,1614803411
Shache,38.4167,77.2406,39.51,62,36,0.78,CN,1614803411
Arman',59.7,150.1667,-11.15,85,99,6.42,RU,1614803411
Lokoja,7.8024,6.743,87.17,23,53,2.39,NG,1614803411
